plot_plot_nr;baum_nr;art_code;art_scientific_name;art_vernacular_name;distanz;azimut;bhd;hoehe;schicht;schaeden[1];schaeden_qualifier[1];schaeden[2];schaeden_qualifier[2];schaeden[3];schaeden_qualifier[3];x;y
1;1;Fi;Picea abies;;3,33;1;29,4;18,8;1;;;;;;;0,058116513;3,329492825
1;2;Fi;Picea abies;;7,35;20;20,4;;1;;;;;;;2,513848053;6,906740763
1;3;ELä;Larix decidua;;11,4;35;31,1;19;1;;;;;;;6,538771374;9,338333305
1;4;Fi;Picea abies;;7,2;56;19,7;10,4;1;3;;;;;;5,969070522;4,026188905
1;5;Fi;Picea abies;;5,15;68;22,5;;1;;;;;;;4,774996851;1,929223956
1;6;Fi;Picea abies;;2,85;92;24,1;;1;;;;;;;2,848263857;-0,099463566
1;7;Fi;Picea abies;;1,25;120;23,1;;1;;;;;;;1,082531755;-0,625
1;8;SAh;Acer platanoides;;4,95;148;29,8;;1;;;;;;;2,623100358;-4,197838076
1;9;Stro;Pinus strobus;;7,8;166;23,6;;1;;;;;;;1,886990786;-7,568306665
1;10;Fi;Picea abies;;7,35;172;23,7;;1;;;;;;;1,022922292;-7,278470305
1;11;Fi;Picea abies;;11,6;194;38,5;;1;;;;;;;-2,806293989;-11,25543042
1;12;Fi;Picea abies;;6,7;215;31;;1;;;;;;;-3,842962124;-5,488318697
1;13;Fi;Picea abies;;8,2;234;37,9;;1;;;;;;;-6,633939354;-4,819839069
1;14;Fi;Picea abies;;3,84;241;23,1;;1;;;;;;;-3,358539675;-1,861668942
1;15;Fi;Picea abies;;8,95;260;38;;1;;;;;;;-8,814029389;-1,55415119
1;16;Fi;Picea abies;;4,66;283;18,1;;1;;;;;;;-4,540564502;1,048271913
1;17;Fi;Picea abies;;5,6;299;16;;2;;;;;;;-4,89787036;2,714933873
1;18;Fi;Picea abies;;1,3;315;8,5;;2;;;;;;;-0,919238816;0,919238816
1;19;ELä;Larix decidua;;8,1;320;30;;1;;;;;;;-5,206579638;6,204959989
18;1;Wei;Salix sp.;;3,09;30;20,05;;2;;;;;;;1,545;2,676018498
18;2;BAh;Acer pseudoplatanus;;5,2;35;26,2;;1;;;;;;;2,982597469;4,25959063
18;3;BAh;Acer pseudoplatanus;;5,15;44;32,2;;1;;;;;;;3,577490608;3,704599972
18;4;BAh;Acer pseudoplatanus;;5,25;38;33,3;;1;;;;;;;3,232222745;4,137056456
18;5;Wei;Salix sp.;;2,6;113;16,13;;2;;;;;;;2,393312619;-1,015900934
18;6;BAh;Acer pseudoplatanus;;6,2;107;16,4;;2;;;;;;;5,929089487;-1,812704569
18;7;BAh;Acer pseudoplatanus;;7,47;135;17,55;;2;;;;;;;5,282087655;-5,282087655
18;8;BAh;Acer pseudoplatanus;;3,72;141;17;;2;;;;;;;2,341071855;-2,890982977
18;9;Wei;Salix sp.;;4,94;176;31;;2;;;;;;;0,34459698;-4,927966408
18;10;Wei;Salix sp.;;4,94;177;27;;2;;;;;;;0,258539624;-4,933229902
18;11;Wei;Salix sp.;;4,94;178;32,5;;2;;;;;;;0,172403514;-4,936990685
18;12;Wei;Salix sp.;;11,56;224;30,5;18,8;1;;;;;;;-8,030250763;-8,315568092
18;13;BAh;Acer pseudoplatanus;;7,33;228;21;;1;;;;;;;-5,447251571;-4,904727345
18;14;BAh;Acer pseudoplatanus;;7,38;233;20,5;;1;;;;;;;-5,893930064;-4,441394871
18;15;Wei;Salix sp.;;7,58;287;16;;1;;;;;;;-7,24879005;2,216177522
18;16;Wei;Salix sp.;;7,58;293;37,5;23,7;1;;;;;;;-6,977426789;2,961741954
18;17;Wei;Salix sp.;;7,33;294;26,5;;1;;;;;;;-6,696288205;2,981379594
18;18;Wei;Salix sp.;;5,19;296;18;;2;;;;;;;-4,6647411;2,275146252
18;19;Wei;Salix sp.;;12,16;312;34;;1;;;;;;;-9,036641078;8,136628173
18;20;Wei;Salix sp.;;6,62;330;16;19;1;;;;;;;-3,31;5,733088173
9;1;Fi;Picea abies;;1,65;210;10,3;;2;3;;;;;;-0,825;-1,428941916
9;2;Es;Fraxinus excelsior;;2,94;330;8;;2;5;Triebsterben;;;;;-1,47;2,546114687
9;3;Stro;Pinus strobus;;7,19;141;29;;1;;;;;;;4,524813612;-5,587679463
9;4;Fi;Picea abies;;7,6;155;27,5;17;1;;;;;;;3,211898789;-6,887939181
9;5;Stro;Pinus strobus;;4,72;225;21,2;;1;;;;;;;-3,337544007;-3,337544007
9;6;Fi;Picea abies;;5,13;288;22;;1;;;;;;;-4,878919929;1,585257181
